Name,Brand,Model,Year,KM Driven,Fuel,Transmission,Ownership,Price,Location
Datsun Redi Go,Datsun,Redi Go,2017,35257,Petrol,Manual,2,141000,"Kompally, Hyderabad"
Hyundai AURA,Hyundai,AURA,2023,120141,CNG,Manual,1,575000,"Bachupally, Hyderabad"
Honda Jazz,Honda,Jazz,2017,31267,Petrol,Manual,1,472341,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Hyundai i10,Hyundai,i10,2013,65984,Petrol,Manual,2,200000,"Kompally, Hyderabad"
Maruti A Star,Maruti,A Star,2013,93352,Petrol,Manual,2,195918,"Kompally, Hyderabad"
Hyundai Verna,Hyundai,Verna,2013,58346,Diesel,Manual,1,379791,"Kompally, Hyderabad"
Nissan Kicks,Nissan,Kicks,2020,105870,Petrol,Manual,1,552129,"Bachupally, Hyderabad"
Maruti Ciaz,Maruti,Ciaz,2018,61505,Petrol,Manual,1,564280,"Kompally, Hyderabad"
Tata TIGOR,Tata,TIGOR,2022,51500,CNG,Manual,1,548052,"Bachupally, Hyderabad"
Hyundai Grand i10,Hyundai,Grand i10,2014,35524,Petrol,Manual,1,322903,"Kompally, Hyderabad"
Honda Amaze,Honda,Amaze,2015,93955,Petrol,Manual,1,302965,"Kompally, Hyderabad"
Renault TRIBER,Renault,TRIBER,2020,93858,Petrol,Manual,1,374504,"Bachupally, Hyderabad"
KIA SONET,KIA,SONET,2023,66402,Petrol,Manual,1,720000,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Maruti Swift,Maruti,Swift,2018,59610,Petrol,Auto,1,435034,"Kompally, Hyderabad"
Honda City,Honda,City,2016,102341,Petrol,Manual,1,499000,"Kompally, Hyderabad"
Mercedes Benz GLA Class,Mercedes Benz,GLA Class,2014,88220,Diesel,Auto,2,1200000,"Upperpally, Attapur, Hyderabad"
Maruti Baleno,Maruti,Baleno,2018,105185,Petrol,Manual,1,470000,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Maruti Swift,Maruti,Swift,2019,98709,Petrol,Manual,1,382000,"Kompally, Hyderabad"
Maruti Celerio,Maruti,Celerio,2021,47221,Petrol,Manual,1,405460,"Upperpally, Attapur, Hyderabad"
Maruti Alto 800,Maruti,Alto 800,2013,60385,Petrol,Manual,2,180069,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
MG HECTOR PLUS,MG,HECTOR PLUS,2020,78476,Petrol,Auto,1,1185000,"Upperpally, Attapur, Hyderabad"
Renault TRIBER,Renault,TRIBER,2021,48169,Petrol,Auto,1,471761,"Kompally, Hyderabad"
Hyundai Elite i20,Hyundai,Elite i20,2018,70303,Petrol,Manual,2,459000,"Kompally, Hyderabad"
Hyundai Verna,Hyundai,Verna,2012,111489,Diesel,Manual,2,255000,"Kompally, Hyderabad"
Hyundai Elite i20,Hyundai,Elite i20,2018,100301,Petrol,Manual,1,502087,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Hyundai VENUE,Hyundai,VENUE,2021,68826,Petrol,Manual,1,595000,"Kompally, Hyderabad"
Maruti Swift Dzire,Maruti,Swift Dzire,2013,83235,Petrol,Manual,2,277010,"Kompally, Hyderabad"
KIA SELTOS,KIA,SELTOS,2023,49208,Petrol,Manual,2,970000,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Volkswagen TAIGUN,Volkswagen,TAIGUN,2021,4214,Petrol,Manual,1,1070000,"Kompally, Hyderabad"
